Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0  1 0 0 0 1
1 1  0.994305 0.00189773 0.00189897 0.00189811 1
1 2  0.977453 0.00752068 0.00751509 0.00751111 1
1 3  0.950127 0.0166586 0.0166118 0.0166023 1
1 4  0.913422 0.0289715 0.0288114 0.028795 1
1 5  0.86878 0.0440075 0.0436179 0.0435948 1
1 6  0.817907 0.0612269 0.0604465 0.0604198 1
1 7  0.762679 0.0800299 0.0786577 0.0786337 1
1 8  0.705036 0.0997872 0.0975935 0.0975829 1
1 9  0.646883 0.119871 0.116614 0.116632 1
1 10  0.58999 0.139685 0.13513 0.135195 1
1 11  0.535911 0.158689 0.152632 0.152769 1
1 12  0.485917 0.176425 0.168711 0.168946 1
1 13  0.440958 0.19253 0.183074 0.183437 1
1 14  0.401635 0.206748 0.195548 0.196069 1
1 15  0.368212 0.21893 0.206074 0.206785 1
1 16  0.340635 0.229034 0.214701 0.215631 1
1 17  0.318581 0.237113 0.221566 0.22274 1
1 18  0.301516 0.243302 0.226871 0.228311 1
1 19  0.288766 0.247797 0.230857 0.23258 1
1 20  0.279583 0.250837 0.233783 0.235797 1
1 21  0.273222 0.25268 0.235894 0.238204 1
1 22  0.268997 0.253583 0.237408 0.240011 1
1 23  0.266337 0.253786 0.238495 0.241382 1
1 24  0.264814 0.253493 0.239267 0.242426 1
1 25  0.26417 0.252863 0.239775 0.243192 1
1 26  0.264309 0.252005 0.240013 0.243673 1
1 27  0.265285 0.250977 0.239924 0.243815 1
1 28  0.267274 0.249788 0.239413 0.243525 1
1 29  0.270531 0.248409 0.238365 0.242695 1
1 30  0.275345 0.246779 0.236663 0.241213 1
1 31  0.281989 0.244824 0.234203 0.238984 1
1 32  0.290678 0.242466 0.230913 0.235943 1
1 33  0.301524 0.239639 0.226767 0.23207 1
1 34  0.314513 0.236301 0.22179 0.227396 1
1 35  0.329486 0.23244 0.216067 0.222006 1
1 36  0.346134 0.228087 0.209737 0.216042 1
1 37  0.36401 0.223312 0.202989 0.209689 1
1 38  0.382554 0.218224 0.196052 0.20317 1
1 39  0.401122 0.21297 0.189178 0.19673 1
1 40  0.419029 0.207722 0.182628 0.190621 1
1 41  0.435591 0.202667 0.176657 0.185084 1
1 42  0.450173 0.198 0.171493 0.180333 1
1 43  0.462225 0.193905 0.167323 0.176547 1
1 44  0.471317 0.190546 0.164285 0.173851 1
1 45  0.477167 0.188056 0.16246 0.172317 1
1 46  0.479652 0.186528 0.161865 0.171956 1
1 47  0.478811 0.18601 0.162457 0.172723 1
1 48  0.474837 0.186503 0.164139 0.174522 1
1 49  0.468058 0.18796 0.166768 0.177214 1
1 50  0.458909 0.190293 0.170167 0.180631 1
1 51  0.447902 0.193376 0.174138 0.184584 1
1 52  0.435586 0.197056 0.178476 0.188882 1
1 53  0.422516 0.201166 0.18298 0.193338 1
1 54  0.409214 0.205529 0.187471 0.197785 1
1 55  0.396148 0.209976 0.191795 0.202082 1
1 56  0.383704 0.21435 0.195829 0.206117 1
1 57  0.372178 0.218517 0.199491 0.209815 1
1 58  0.361767 0.222369 0.202732 0.213131 1
1 59  0.352574 0.225833 0.205539 0.216054 1
1 60  0.344617 0.228862 0.207927 0.218595 1
1 61  0.337843 0.231443 0.20993 0.220784 1
1 62  0.33215 0.233588 0.211599 0.222663 1
1 63  0.327404 0.23533 0.212989 0.224278 1
1 64  0.323458 0.236717 0.214153 0.225672 1
1 65  0.320174 0.237804 0.215139 0.226883 1
1 66  0.317434 0.238649 0.215981 0.227936 1
1 67  0.315149 0.239307 0.216699 0.228845 1
1 68  0.313265 0.23982 0.217301 0.229613 1
1 69  0.311762 0.240225 0.21778 0.230234 1
1 70  0.310647 0.24054 0.218121 0.230692 1
1 71  0.309951 0.240775 0.218301 0.230972 1
1 72  0.309714 0.240928 0.2183 0.231059 1
1 73  0.309973 0.240987 0.218098 0.230943 1
1 74  0.310755 0.240938 0.217684 0.230623 1
1 75  0.312066 0.240765 0.217059 0.23011 1
1 76  0.313884 0.240457 0.216233 0.229425 1
1 77  0.316159 0.240006 0.215232 0.228602 1
1 78  0.318809 0.239417 0.214091 0.227683 1
1 79  0.321727 0.2387 0.212855 0.226718 1
1 80  0.324788 0.237878 0.211575 0.225759 1
1 81  0.327858 0.236982 0.210302 0.224858 1
1 82  0.330803 0.236049 0.209087 0.224061 1
1 83  0.333499 0.235121 0.207973 0.223407 1
1 84  0.335846 0.234239 0.206992 0.222923 1
1 85  0.337769 0.233443 0.206166 0.222622 1
1 86  0.339228 0.232765 0.205503 0.222503 1
1 87  0.340217 0.232232 0.204998 0.222553 1
1 88  0.340766 0.231859 0.20463 0.222744 1
1 89  0.340935 0.23165 0.204373 0.223041 1
1 90  0.340809 0.2316 0.20419 0.223401 1
1 91  0.340488 0.231695 0.204039 0.223778 1
1 92  0.340081 0.231914 0.203881 0.224124 1
1 93  0.339696 0.23223 0.203676 0.224398 1
1 94  0.339433 0.232616 0.20339 0.224561 1
1 95  0.339376 0.233044 0.202996 0.224584 1
1 96  0.339588 0.233489 0.202476 0.224446 1
1 97  0.340113 0.233931 0.20182 0.224136 1
1 98  0.340972 0.234355 0.201025 0.223648 1
1 99  0.342168 0.234748 0.200097 0.222987 1
1 100  0.343689 0.235104 0.199046 0.222161 1
1 101  0.345512 0.235418 0.197886 0.221184 1
1 102  0.347612 0.235684 0.196633 0.220071 1
1 103  0.349962 0.235895 0.195305 0.218837 1
1 104  0.352542 0.236041 0.193918 0.217499 1
1 105  0.355335 0.236103 0.19249 0.216072 1
1 106  0.358337 0.23606 0.191035 0.214569 1
1 107  0.361545 0.235881 0.18957 0.213005 1
1 108  0.364961 0.235532 0.188113 0.211393 1
1 109  0.368586 0.234978 0.186685 0.209751 1
1 110  0.372412 0.234183 0.185311 0.208095 1
1 111  0.376421 0.233115 0.184018 0.206447 1
1 112  0.380574 0.231752 0.182841 0.204833 1
1 113  0.384814 0.230086 0.181818 0.203282 1
1 114  0.389059 0.228122 0.180992 0.201828 1
1 115  0.393204 0.225886 0.180405 0.200505 1
1 116  0.397123 0.223425 0.1801 0.199352 1
1 117  0.400678 0.220803 0.180115 0.198404 1
1 118  0.403721 0.218102 0.180483 0.197695 1
1 119  0.406106 0.215418 0.181223 0.197252 1
1 120  0.4077 0.212856 0.182344 0.197099 1
1 121  0.408391 0.210523 0.183838 0.197248 1
1 122  0.408098 0.208518 0.185681 0.197702 1
1 123  0.40678 0.206932 0.187832 0.198456 1
1 124  0.404438 0.205836 0.190235 0.199491 1
1 125  0.401122 0.205274 0.19282 0.200784 1
1 126  0.396927 0.205266 0.195508 0.202299 1
1 127  0.39199 0.205797 0.198215 0.203997 1
1 128  0.386482 0.206827 0.200856 0.205836 1
1 129  0.380599 0.208283 0.203348 0.207769 1
1 130  0.374551 0.210074 0.205621 0.209754 1
1 131  0.368548 0.212089 0.207615 0.211748 1
1 132  0.362787 0.214211 0.209287 0.213716 1
1 133  0.357442 0.216321 0.210612 0.215625 1
1 134  0.352651 0.218313 0.211585 0.21745 1
1 135  0.348515 0.220094 0.212218 0.219173 1
1 136  0.345083 0.221597 0.21254 0.22078 1
1 137  0.342364 0.222784 0.212591 0.22226 1
1 138  0.34032 0.223648 0.212422 0.22361 1
1 139  0.338875 0.224212 0.212087 0.224826 1
1 140  0.337926 0.224528 0.211639 0.225907 1
1 141  0.33735 0.224672 0.211128 0.22685 1
1 142  0.337018 0.224734 0.210593 0.227655 1
1 143  0.336806 0.224813 0.210063 0.228319 1
1 144  0.336604 0.225002 0.209555 0.228838 1
1 145  0.336329 0.225387 0.209073 0.22921 1
1 146  0.33593 0.226031 0.208607 0.229431 1
1 147  0.33539 0.22697 0.20814 0.2295 1
1 148  0.334729 0.228211 0.207645 0.229416 1
1 149  0.333999 0.229726 0.207094 0.229182 1
1 150  0.333282 0.231456 0.206458 0.228803 1
1 151  0.33268 0.233315 0.205716 0.228289 1
1 152  0.332304 0.235194 0.204849 0.227653 1
1 153  0.332265 0.236971 0.203852 0.226911 1
1 154  0.332665 0.238524 0.20273 0.226081 1
1 155  0.333582 0.239735 0.201499 0.225184 1
