Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0 1 0 0 0 1 
1 1 0.996206 0.00138594 0.00120401 0.00120422 1 
1 2 0.984927 0.00550604 0.00478244 0.00478435 1 
1 3 0.966471 0.0122487 0.0106363 0.0106436 1 
1 4 0.941337 0.0214328 0.0186053 0.0186248 1 
1 5 0.910194 0.0328145 0.0284747 0.0285164 1 
1 6 0.873858 0.0460968 0.0399834 0.0400615 1 
1 7 0.833258 0.0609404 0.0528344 0.0529673 1 
1 8 0.7894 0.0769764 0.0667068 0.0669171 1 
1 9 0.743332 0.0938195 0.0812671 0.0815819 1 
1 10 0.696104 0.111081 0.0961821 0.0966323 1 
1 11 0.648735 0.128384 0.111131 0.11175 1 
1 12 0.602175 0.145371 0.125814 0.126641 1 
1 13 0.557279 0.161719 0.139965 0.141038 1 
1 14 0.514782 0.177147 0.153357 0.154715 1 
1 15 0.475284 0.191421 0.165806 0.16749 1 
1 16 0.439237 0.204361 0.177178 0.179225 1 
1 17 0.406943 0.215841 0.187385 0.189831 1 
1 18 0.378556 0.225789 0.19639 0.199265 1 
1 19 0.354091 0.234188 0.204195 0.207525 1 
1 20 0.33344 0.241066 0.210845 0.214649 1 
1 21 0.31639 0.246494 0.216413 0.220703 1 
1 22 0.302641 0.250579 0.221001 0.225779 1 
1 23 0.291835 0.253456 0.224723 0.229986 1 
1 24 0.283576 0.255278 0.227706 0.23344 1 
1 25 0.277454 0.25621 0.230076 0.23626 1 
1 26 0.273067 0.256423 0.231952 0.238557 1 
1 27 0.270039 0.256083 0.233444 0.240434 1 
1 28 0.268034 0.255347 0.234642 0.241977 1 
1 29 0.266771 0.254358 0.235618 0.243253 1 
1 30 0.266026 0.253242 0.236421 0.244311 1 
1 31 0.265642 0.252103 0.237079 0.245176 1 
1 32 0.265523 0.251025 0.237595 0.245857 1 
1 33 0.265632 0.250067 0.237958 0.246343 1 
1 34 0.265984 0.24927 0.238135 0.24661 1 
1 35 0.26664 0.248653 0.238085 0.246623 1 
1 36 0.26769 0.248216 0.237756 0.246339 1 
1 37 0.269247 0.247945 0.237094 0.245714 1 
1 38 0.271433 0.247814 0.236047 0.244706 1 
1 39 0.27437 0.247786 0.234566 0.243278 1 
1 40 0.278166 0.24782 0.232613 0.2414 1 
1 41 0.28291 0.247869 0.230163 0.239058 1 
1 42 0.288663 0.247886 0.227204 0.236248 1 
1 43 0.295452 0.247825 0.22374 0.232982 1 
1 44 0.303272 0.247645 0.219795 0.229287 1 
1 45 0.312079 0.247309 0.215407 0.225204 1 
1 46 0.321794 0.246787 0.210629 0.220789 1 
1 47 0.332305 0.246056 0.205531 0.216109 1 
1 48 0.34347 0.245101 0.200192 0.211238 1 
1 49 0.355123 0.243915 0.194701 0.20626 1 
1 50 0.36708 0.242502 0.189154 0.201263 1 
1 51 0.379146 0.240872 0.183649 0.196333 1 
1 52 0.391116 0.239042 0.178284 0.191558 1 
1 53 0.40279 0.23704 0.173152 0.187019 1 
1 54 0.41397 0.234896 0.168343 0.182791 1 
1 55 0.424471 0.23265 0.163937 0.178943 1 
1 56 0.434125 0.230343 0.160003 0.175529 1 
1 57 0.442783 0.228022 0.156599 0.172596 1 
1 58 0.450316 0.225736 0.15377 0.170178 1 
1 59 0.456622 0.223535 0.151547 0.168296 1 
